usr1,usr2
233976,3515929
1379848,6213971
1547483,3734289
1755055,3700974
132665,641255
2818736,3269965
278913,933601
915191,7039321
302697,4435835
1514032,8639146
4868645,5960075
1118283,3506284
631996,5902332
434165,1145853
521120,1152071
52238,2170843
30863,1118283
6634170,7496333
435688,6808752
14472,111461
357940,884982
641255,5516634
72342,438326
1379054,1758425
405590,2818736
194198,6202990
47664,1273177
1424016,2596435
626875,998313
156320,792285
55581,1516901
1513467,8835479
111461,986847
156320,2300789
509529,3734289
521120,1249940
46271,1229358
3506284,4424345
6171,1754803
1826001,2608895
686203,6808752
13743,792285
1754803,3506284
36470,55581
208550,7991310
52790,176259
600122,1956315
1075084,2277728
47664,998313
626875,5714991
868924,3282780
273426,5724228
92843,1316957
711003,8639146
316231,986847
2169738,3079937
25430,430086
1513467,1798463
493975,4556198
430086,2641840
76946,2169738
55581,2438710
13743,98936
2438710,3744310
357940,434165
194198,6119599
1616594,3219133
359482,4035394
2067052,5988485
438326,8726568
1739,912312
1229358,1894914
1912944,3011117
278913,3203536
1616594,2828992
521120,1513467
218869,2300789
2537610,4942353
133141,686203
399435,1798463
212282,1316957
1385270,1912944
212282,1756703
101455,1231495
473,916926
7210,368741
101455,185943
368741,1419052
278913,493975
278913,7991310
90131,2646915
1424016,2411545
1229358,1316957
302697,440039
54906,8343416
2828992,4769530
176259,1695030
186270,1249940
2853693,6902645
56748,156568
13217,4250706
76946,986847
1507577,8634891
72606,82192
55581,1229358
36233,1451192
209811,5143989
157494,2646915
473,5043133
2853693,3282780
47664,1548496
2277728,3427141
1226674,1507577
90131,1424016
47664,63134
1671300,5933583
7210,3506284
755148,2353363
620271,5043133
359482,1118283
915191,1755055
9892,1894914
23567,6202990
505852,1261542
68636,965006
570900,1134263
808866,962131
316231,4759041
56748,3269965
64356,2853892
1405995,8343416
54161,912312
42843,3749329
1836668,2646915
82192,2828992
13217,1145853
385822,509529
85051,808866
36233,359482
333886,1075084
2661032,3506284
405590,1075084
125878,7250838
6171,1076044
473,440039
1229358,1513467
2853892,5516634
424320,2525897
460856,1118283
424320,1376285
30863,1402639
47664,755148
2067052,2803008
5960075,8639146
359482,2463963
98936,516819
1419052,3785977
156320,6213971
1249940,8726568
792285,2688004
1152071,1273177
20707,2688004
68636,3427141
2315607,5934494
56748,6164668
2525897,6202990
87069,232755
359482,424320
132665,8343416
430086,5143989
125878,2596435
1739,3079937
64356,209803
6171,3427141
1273177,5143989
998313,1005107
405590,1798463
