usr1,usr2
108787,144292
8835,277195
51014,361024
12548,195898
29128,43608
6408,130877
230112,289092
9326,31284
439,6221
17401,353801
963,831087
14005,221359
359809,1179660
8961,248400
17715,180923
10978,1020289
18138,64994
6408,9821
29128,212623
108787,113430
644767,1530004
202181,359809
4796,8209
12035,874021
1276,734172
125007,126017
992,379718
60052,125244
48889,277519
61365,128588
10058,1911478
6418,913076
19076,637056
147212,251509
195898,372376
8267,239889
31284,1969795
6396,2748509
32731,1179660
11961,1200601
128588,1212932
42130,64572
6290,23272
12573,274885
63463,65730
203,883111
44764,125244
1276,38622
51014,108349
307240,359809
974,612914
14005,134626
34389,874045
125244,549366
10047,23180
6409,9821
9930,44764
51014,372376
372376,620460
6418,1459188
32626,874061
26363,43608
9215,361774
883111,2317752
223056,2054114
31284,2748509
9215,1946486
4504297,6611460
6409,10047
13567,31284
8209,65645
11961,3608067
9930,391036
14956,247459
11032,18804
5305,49546
10047,29256
5305,187519
88450,109279
6400,389235
249329,1200952
134626,271051
10978,33441
6408,106058
43608,874081
11032,17903
372376,712940
6290,122687
974,3157286
51014,78768
14956,344213
32731,5526484
223056,644767
963,10058
1003,2245366
9930,18898
3215,929884
89579,5332833
36752,74298
14956,353803
974,9972
31284,147212
66149,128588
21815,51048
9215,221359
6400,212977
6599,584349
89579,168013
9326,1397211
134389,913076
1199,6221
277519,372376
999,126017
11032,32731
43608,724741
6408,4652874
51048,1305235
359809,929884
10058,74298
37157,207900
65645,187519
12662,320704
439,10047
8835,22359
96550,134389
10058,38552
12035,14956
6400,372801
39559,149859
1003,932401
353803,371717
999,3080
1276,107848
134389,535454
6408,3166792
12573,51565
6408,3401881
4796,975666
17715,50505
16391,44090
963,1504640
3215,1969795
144309,3272060
391036,563612
14956,17903
38246,251509
1199,73761
101264,114081
962,6400
9211,9930
25158,372376
9215,125244
203,6400
9930,248400
13691,17401
6396,113430
39495,975666
6408,1523433
5064,17715
19076,959681
51565,125007
11042,13395
9930,484237
247459,359809
41747,277519
96552,155173
974,69994
10047,818343
51014,125244
1003,929884
134626,136129
109279,249329
3854,128588
5305,45646
3180433,6213068
128588,139612
372376,2054114
6408,103598
28589,51565
128588,556909
51048,185845
33441,302674
89579,233850
89579,1151360
105379,125244
12662,38525
14956,136906
6408,9211
65645,88607
128588,498693
974,249329
535454,624186
8835,231692
14956,3444046
6396,1149611
974,45767
64994,168013
10058,14005
2613,253991
125244,1094566
9215,146539
128588,148673
359809,712940
19076,202181
41747,1420964
14005,282056
10058,36590
74298,89579
6400,258570
6418,3566761
974,67240
9930,64994
1003,271051
7125,38622
1954,6858
6408,21630
9211,549366
12662,63463
13395,549366
995,874055
6396,5629049
26368,197480
995,43608
73581,141869
128588,6176524
14956,56518
109279,449745
963,308968
1831,106334
29869,302674
962,48889
963,8209
17401,17750
51014,202181
974,480790
55716,462474
6408,73581
17715,162045
995,8938
51565,109903
28294,230112
32731,1942032
23272,51048
27544,132066
14005,1044882
974,107848
106334,128588
3941,10058
18860,250683
992,5629049
32731,5013455
67240,125244
128588,2379430
932401,3307455
78970,109279
995,302674
14956,130877
14956,1236618
17715,1020289
10058,64994
128588,292833
1831,44090
17715,36378
18621,34389
28183,34389
644767,3401881
883111,2998780
1276,18138
1003,1179660
10058,125244
995,831087
995,116993
44090,326036
68080,1420964
1199,22869
17952,32626
359809,5013455
969,89579
108787,1179660
19930,289092
18263,148673
3215,14956
14956,28106
78768,1200952
72794,108787
17903,109903
995,244389
41747,158744
1954,4476
17715,38525
17401,128588
913076,975666
64994,359809
21464,462474
108787,497712
17715,1836290
49070,195898
3080,18621
31817,148673
963,36493
2907,11032
6408,277195
6400,18898
134626,539028
14956,601061
22907,38622
14005,1337707
6400,931422
6400,29128
24772,1956414
6400,344213
39559,96783
1831,1813441
974,186739
21464,32731
3215,53131
54818,73581
974,44090
9930,1530004
14005,354317
14005,3491576
44764,109279
22907,41505
10047,79778
963,6503757
32731,71282
17903,122687
7262,13395
11032,105379
3164,1020289
125244,167911
65645,320603
4796,3491576
9779,200568
959681,1530004
180923,359809
44090,1151360
17903,80638
31284,1997268
1954,539028
1003,38525
19076,1911478
995,38246
974,11042
2832618,6503757
962,883111
128588,198895
974,497712
995,69696
963,361024
72660,89579
12017,549366
102246,1200952
108787,258570
7262,549366
6400,2054114
3215,51565
36729,1956414
8267,103775
8835,258570
6993,17031
8209,75764
17903,148673
999,151722
78679,89579
128588,873961
6418,5332833
31284,1094566
55621,2832618
8209,73897
10047,17715
17715,90075
13395,17952
17715,873961
11042,18860
18263,43608
65730,449745
1200952,1459188
90075,407104
9930,381455
962,361774
